"m","reps","seed","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10"
0.0001,1,3490717433534564352,0.0001265057,0.00061310955,0.00128088065,0.00118806155,0.0001130861,0.0010874658,0.00000169875,0.0001185856,0.0006064835,0
0.001,1,7098370932065618944,0.0010958386,0.0000037942,0.0011496349,0.00000229885,0.00111986305,0.00121343535,0.0010492696,0.0009518466,0.00135249125,0.0011846112
0.01,1,4377121327051931136,0.0019159702,0.0018010703,0.0018335762,0.00194235875,0.0017654791,0.00185244805,0.0019090412,0.00186882445,0.00177940315,0.00196046725
0.015,1,6995569624529419264,0.00204507995,0.00199440665,0.0019691163,0.0019375832,0.00006097625,0.00200716095,0.0019188962,0.00206636935,0.0020240408,0
0.1,1,1077443569939705600,0.00103380975,0.00192519775,0.0019703834,0.0018923301,0.0019237064,0.0018825445,0.00193191395,0.00197803355,0.0018881172,0.0019298834
0.15,1,8151683356633428992,0.00200905985,0.0019713318,0.00199792745,0.0021147084,0.00198339275,0.0019953402,0.00202226665,0.0020494921,0.00194704775,0.00206220345
0.2,1,6145187380739526656,0.0019662065,0.0019665889,0.00203005095,0.00202772925,0.00196551305,0.0021398179,0.00204556335,0.00205851545,0.0019782496,0.00200164555
0.3,1,1276807766757573120,0.00198496335,0.00197142055,0.0020283299,0.0020905758,0.0020287707,0.0019368418,0.00212408985,0.00200936715,0.00208991835,0.00201493425
0.4,1,3899606606612629504,0.00186110635,0.00187734395,0.0019085936,0.0018368226,0.0019036861,0.00185589795,0.00187505685,0.0018827796,0.00185014455,0.0017732897
0.5,1,3995401832687930880,0.0019827931,0.00201918435,0.00198849875,0.0020149753,0.0019290713,0.0019873557,0.0020138616,0.0019517402,0.0021071322,0.00201243905
0.0001,10,9153212874769883136,0.00018797505,0.0001586899,0.00054643725,0.0003850999,0.00032233175,0,0.0002112216,0.00050658655,0.000290317,0.00044836415
0.001,10,2677836717720935936,0.0012863037,0.0011872787,0.00158559525,0.00132396,0.00129759905,0.00095584485,0.0014250687,0.00127774545,0.0014509065,0.0015404712
0.01,10,8777144816669601792,0.00201529845,0.00198600815,0.002081504,0.0019728708,0.00200711255,0.0021102554,0.0019263284,0.00197990205,0.0019932758,0.0020142371
0.015,10,6795424068386695168,0.0017834453,0.0017354308,0.0017361732,0.00180489405,0.00166266075,0.0018143783,0.0017807013,0.0016290095,0.00186040155,0.00174595855
0.1,10,198974392753439328,0.0016413316,0.00166211415,0.00166513685,0.00172905005,0.001725325,0.0017051244,0.0016558154,0.0016678655,0.00168204035,0.00168971565
0.15,10,4222514054764352000,0.0018970171,0.0019231016,0.00193828565,0.001928481,0.00196976385,0.0019066694,0.0018691257,0.0018912207,0.00186233305,0.0018962699
0.2,10,8304110509550592000,0.00181268385,0.0017762468,0.00182324735,0.001791627,0.00172500775,0.00180918805,0.0017445924,0.00178919005,0.00180988515,0.00171236965
0.3,10,1515027801590871040,0.0020038994,0.0020527937,0.00209406295,0.0019334003,0.00201103685,0.00194919415,0.0020517382,0.0020308254,0.0019939813,0.0020160033
0.4,10,8821620971949430784,0.00196106775,0.0020524201,0.0020610915,0.00199676275,0.00209484845,0.0020003527,0.0020593854,0.00200360595,0.00203485675,0.0020591371
0.5,10,4274196127841543168,0.00184628695,0.0017818226,0.00190095285,0.00172182465,0.00186205515,0.0018878922,0.00190965175,0.001932817,0.00186184715,0
0.0001,11,6022369929433366528,0.00017955865,0.0002555468,0.0000021982,0.00002126195,0.00024823285,0.00031781865,0.00037510185,0.0003609738,0.00054359145,0.0003240185
0.001,11,6650668591594132480,0.0014357669,0.0017256691,0.00170288635,0.00118112375,0.0015821589,0.0013440492,0.00006062275,0.00112473105,0.0020030694,0.00168156275
0.01,11,5559081786637003776,0.0018450856,0.0010254396,0.0018259808,0.0018722248,0.00183976505,0.00172605605,0.0019179011,0.00194801055,0.00183308915,0.00185686685
0.015,11,3757356347300322304,0.0019743816,0.00209778855,0.0019859153,0.00007437675,0.0019362198,0.0019490547,0.00208198375,0.0020993275,0.0021149906,0.0019410427
0.1,11,438732867207152960,0.00193128785,0.0019563166,0.0019291965,0.001904413,0.00190711215,0.00193919665,0.00190762695,0,0.00195074935,0.00105593165
0.15,11,7419118344271623168,0.00180460155,0.0017888005,0.00181682625,0.0017911868,0.00184120875,0.0018640877,0.00174208955,0.00177942935,0.00176804785,0.0018012556
0.2,11,2662857615999204864,0.0018811395,0.00191310925,0.00193899135,0,0.0019773164,0.00196319275,0.00193963295,0.00195514,0.0019095586,0.00194477695
0.3,11,4651929222280923136,0.00211219025,0.0019698895,0.0020867112,0.0020716998,0.0020745482,0.00203846195,0.0021693273,0.0020715303,0.0021395045,0.00207570235
0.4,11,7301490132308137984,0.00182751935,0.0018931406,0.00194184835,0.0018350023,0.0019587129,0.00192215635,0.0018909261,0.001844752,0.0018633756,0.0019648962
0.5,11,118995423580271328,0.0017704056,0.00173679025,0.00172992345,0.0017332305,0.0017152251,0.0018213716,0.0017545165,0.00176903615,0.0018089881,0
0.0001,12,1042986975774730112,0.0007515594,0.00083980105,0.0007727411,0.0000377820000000001,0.0007683124,0.00022857715,0.00041365415,0.0006152056,0.0002326534,0.00021751075
0.001,12,6694919255703847936,0.0013338894,0.00055767135,0.00131987765,0.00001746975,0.0012854783,0.00141370285,0.0013709882,0.00146336555,0.00130219685,0.00123724755
0.01,12,5179783318237092864,0.00197974345,0.00193988355,0.0017486935,0.0019225537,0.00190001295,0.00180992295,0.0019119806,0.0018911235,0.00181185535,0.0018883237
0.015,12,5767585611050486784,0.0021059573,0.00214714215,0.00218600905,0.00218776535,0.0021220709,0.0021835735,0.00228093785,0.0021394496,0.00225213135,0.0008310084
0.1,12,1153489595498692608,0.0016833123,0.00169500435,0.0003940457,0.0017658753,0.00171503155,0.0017680287,0.00175441065,0.0017282567,0.0016916091,0.00174427635
0.15,12,4490042170486528512,0.00200778765,0.00211796535,0.0020198315,0.00202069405,0.0019911364,0.0019957025,0.00204869585,0.00198376385,0.0021109235,0.00202179555
0.2,12,1259059147219708672,0.0018761403,0.00177395555,0.00181482345,0.00175144065,0.00174185285,0.001860673,0.00181879005,0.00186953845,0.00188475635,0.00179770235
0.3,12,5721868836195366912,0.00211291815,0.00210682555,0.002022609,0.0019844838,0.0019711877,0.0020521715,0.00202289435,0.00198089655,0.0019890654,0.0020570094
0.4,12,864424630282462592,0.00198466775,0.00198696165,0.00208439835,0.002081252,0.0020053488,0.0020862598,0.0020908856,0.00199584095,0.00212642705,0.0020645874
0.5,12,7116251516429673472,0.00181809395,0.00175627175,0.001698347,0.0018762284,0.00181940235,0.00178338505,0.0018443385,0.001730964,0.0017632303,0.0017264518
0.0001,13,5954662433575068672,0.0005659609,0.00000468645,0.00041535315,0.0000539785,0.0003697801,0.00049789325,0,0.0004141462,0.00034932935,0.00043022445
0.001,13,3866203919884838912,0.0017483259,0.00175391765,0.00020766225,0.0019622284,0.0014949439,0.00151210985,0.00153532535,0.0018958276,0.0017861657,0.0018859539
0.01,13,6248823371983058944,0.00199756335,0.0019246846,0.00190926725,0.00194399355,0.0020077633,0.00199571245,0.00206578905,0.0021171315,0.00208710235,0.00194221695
0.015,13,2346330974788812288,0.00177348035,0.00178910525,0.00182529315,0.0018763259,0.0016517982,0.0018739467,0.00164894855,0.0000379547,0.0016246842,0.00163169925
0.1,13,2572017772507240448,0.00184138015,0.0018551717,0.0018128581,0.00178133225,0.0017581074,0.00182368285,0.0017749776,0.00180728535,0.0018124917,0.00174300725
0.15,13,1354546718720217088,0.00188169415,0.00180258935,0.00178350605,0.0019070276,0.0017977771,0.0018237429,0.0018727745,0.0018514593,0.00185440615,0.0017057124
0.2,13,7236216455433931776,0.0020353334,0.00215092515,0.00205869705,0.00198843535,0.00205055235,0.0020242602,0.00204044715,0.0020245836,0.0020245088,0.00205425495
