"m","reps","seed","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10"
0.01,1,5122183659446183936,0.00101220335,0.00023044485,0.00126702335,0.00008879465,0.0011967424,0.0010942524,0.00126001335,0,0.00137000205,0.00121343595
0.015,1,5048618104509049856,0.00125886305,0.00128150385,0.00128797105,0.0013665313,0.00016368355,0.0000454879,0.00129348875,0.00027403935,0.00002579265,0.0012937139
0.1,1,2778314228718735360,0,0.0018124543,0.00178945795,0.0018924721,0.0004108575,0.0018209063,0.00170826515,0.00180309755,0.0017388198,0.0018459382
0.15,1,2824825517043359232,0.0020577403,0.00196032565,0.0010599245,0.00196827265,0.00207115825,0.00197533285,0.00198224605,0.00040782015,0.0019856868,0.0011660258
0.2,1,366783316023822656,0.00212197265,0.00153046555,0.00211578625,0.0013909719,0.00216986495,0,0.00151530595,0,0.00158261615,0.00218887605
0.3,1,2096077590531779584,0.00177858805,0.0017382343,0.0017636837,0.0017583825,0.0016601251,0.0017906492,0.0018381865,0.0017613421,0.0017389738,0.0017896463
0.4,1,4792620559814118400,0.00208037225,0.0021411832,0,0.00205869705,0.00216887115,0.00211570375,0.0017677468,0.0020885585,0.0021359016,0.0022573977
0.5,1,3806514407017517056,0,0.00193596255,0.0020251818,0.00194157725,0,0.0019389367,0.001942577,0.00195281805,0.001996326,0.00196777075
0.001,10,5134103534883014656,0.00005634665,0,0.0000159593,0.00000009995,0.0000419662,0.00002351525,0.0000069153,0.0000011948,0,0
0.01,10,7291702790158217216,0.00072431495,0.0000404351,0.0000907715,0.000760517,0.00045074345,0.0002576512,0.00134665105,0.0000960897,0.00099648865,0.00107918315
0.015,10,1347962915657611776,0.00002743775,0.0019181216,0.000200532,0,0.0000614938,0.0008307575,0.001872033,0.0003016196,0.0003480947,0.00194770675
0.1,10,2920120144254637056,0.0019137983,0.00183065375,0.0018091675,0.0018904261,0.0002719836,0.0018594849,0.0018595278,0.00026818435,0.00185537035,0.0002876371
0.15,10,6927027553116404736,0.0009834096,0.0016801605,0.00172788055,0.00171258565,0.00170426165,0.00171689825,0.00171069125,0.00164407815,0.0016799204,0.0009167971
0.2,10,3106155109292688384,0.00208520565,0,0.00206435135,0.0021230774,0.00203343205,0.00212148375,0.00070628835,0.001763332,0.00184097935,0.0020721362
0.3,10,8952492533670653952,0.00081617185,0.00163085075,0.00165833605,0.0016620322,0.0016076734,0.00159807005,0.0008395885,0,0.0016821667,0.0016050484
0.4,10,279437867766146848,0.00178803345,0.00171588655,0.00179777415,0.00178435295,0,0.00174144775,0.00172371845,0.00126272845,0.0012839286,0.00178532235
0.5,10,1708297416494148352,0.0017974661,0.0018604706,0.00183516405,0.00179393715,0.00179302575,0.00178244785,0.0018143515,0.00177099205,0.00175871485,0.0016754447
0.001,11,5460025077230031872,0.00011083995,0,0.00000462615,0.00000089835,0.00000344865,0.0000001999,0.0000001999,0,0.00000248555,0
0.01,11,3274587013623223296,0.00086615295,0.00031071435,0.00100877355,0.0003889513,0.0000690078,0.00085363885,0.00069952185,0.00093548055,0.0010353546,0.00084714885
0.015,11,2571245520645710848,0.00130760885,0.0001408563,0.00099136295,0.00005323035,0.0012925351,0,0.00130296915,0.00010658705,0.0014660842,0
0.1,11,9148026992727849984,0.0003603153,0.0018368288,0.00182586165,0.00175374255,0.00171096325,0.00182370985,0.0018475943,0,0.00184650385,0.0016373467
0.15,11,6027979108795590656,0.00180844685,0.00106848925,0.00173838635,0.00177263485,0.00171908125,0.0017503067,0.0018520905,0,0.0012611092,0.001769989
