m,reps,seed,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,mean,variance
0.2,1,6612871222958024e3,6.4168e-4,6.715e-4,7.0792e-4,0,2.7496e-4,3.0138e-4,6.5236e-4,5.417e-4,6.9928e-4,6.0392e-4,5.0947e-4,5.637518224444445e-8
0.3,1,30380361097236552,8.868e-4,8.4268e-4,8.086e-4,0,9.2208e-4,7.3572e-4,7.4908e-4,8.7524e-4,0,8.052e-4,6.6254e-4,1.2531040613333333e-7
0.4,1,8742170602610005e3,0,0,8.932e-4,8.8516e-4,9.6726e-4,8.8782e-4,9.7894e-4,0,7.3798e-4,9.2398e-4,6.27434e-4,1.916748362711111e-7
0.2,2,4856339689933995e3,0.0011895,0.00116252,0.00116686,0,9.9666e-4,0.00107582,0.00115574,0.0011488,0.00107816,0.00105346,0.001002752,1.2791252197333334e-7
0.3,2,1832269430545528e3,7.7418e-4,8.3068e-4,0,7.8098e-4,7.0282e-4,8.2748e-4,8.287e-4,7.8016e-4,8.312e-4,8.2842e-4,7.18462e-4,6.540919950666666e-8
0.4,2,4725339105753827e3,0.0012452,0.00104866,0.00109566,0.001242,0.00119664,0.0011283,0.0011252,0.00108972,0.00101028,0.00103768,0.001121934,6.878336271111109e-9
0.2,3,7096728438203071e3,5.7078e-4,6.0634e-4,5.8298e-4,6.1908e-4,0,6.3938e-4,6.3746e-4,6.07e-4,6.3912e-4,0,4.90214e-4,6.728349813777778e-8
0.3,3,500936712039019e4,9.552e-4,0.00105214,8.2664e-4,9.7982e-4,0,2.9532e-4,5.1958e-4,9.6952e-4,9.6324e-4,8.5904e-4,7.4205e-4,1.24370205e-7
0.4,3,7629299747275137e3,8.5932e-4,9.4568e-4,0.0010631,9.7216e-4,6.3208e-4,7.5624e-4,0.00103848,8.0746e-4,8.84e-4,0.0010242,8.98272e-4,1.9043378506666666e-8
0.2,4,5678976573930595e3,0.00119018,0.00128956,6.7414e-4,0.00124662,0,6.1126e-4,9.451e-4,0,0.00121598,0.00123234,8.40518e-4,2.5415961559555556e-7
0.3,4,8877267792640907e3,5.3368e-4,0,6.0328e-4,4.683e-4,4.8154e-4,5.2008e-4,4.8598e-4,5.3308e-4,4.018e-4,4.759e-4,4.50364e-4,2.7825282293333333e-8
0.4,4,5432802584304245e3,8.6872e-4,8.0912e-4,8.1226e-4,0,8.0924e-4,0,8.1564e-4,9.1026e-4,9.7972e-4,8.9674e-4,6.901699999999999e-4,1.3538608802222222e-7
0.2,5,176251412133393300,3.4262e-4,6.666e-4,7.7908e-4,6.9198e-4,7.3214e-4,7.5602e-4,7.5842e-4,0,7.8024e-4,7.985e-4,6.305600000000001e-4,6.673996435555556e-8
0.3,5,6408155226757954e3,7.8228e-4,8.4732e-4,6.3086e-4,8.2122e-4,7.6658e-4,7.3296e-4,7.6524e-4,8.805e-4,8.7678e-4,8.1064e-4,7.91438e-4,5.576319328888888e-9
0.4,5,4782236872622683e3,0.00102262,0.00101576,0.0010368,9.1612e-4,0.001017,9.9902e-4,0,0.00107302,0.00100424,0.0010022,9.08678e-4,1.0348863977333333e-7
